frame,side weight,sensitivity,threshold,buf size,gamma,goal
802,6.0,1.0,7.0,12,0.96,0
802,6.0,1.0,7.0,12,0.97,0
803,6.0,1.0,7.0,12,0.98,0
803,6.0,1.0,7.0,12,0.99,0
803,6.0,1.0,7.0,16,0.95,0
804,6.0,1.0,7.0,16,0.96,0
805,6.0,1.0,7.0,16,0.97,0
805,6.0,1.0,7.0,16,0.98,0
806,6.0,1.0,7.0,16,0.99,0
806,6.0,1.0,7.0,20,0.95,0
806,6.0,1.0,7.0,20,0.96,0
134,6.0,1.0,7.0,20,0.97,0
135,6.0,1.0,7.0,20,0.98,0
134,6.0,1.0,7.0,20,0.99,0
809,6.0,1.0,7.0,24,0.95,0
137,6.0,1.0,7.0,24,0.96,0
136,6.0,1.0,7.0,24,0.97,0
137,6.0,1.0,7.0,24,0.98,0
137,6.0,1.0,7.0,24,0.99,0
135,6.0,1.0,7.0,28,0.95,0
137,6.0,1.0,7.0,28,0.96,0
134,6.0,1.0,7.0,28,0.97,0
137,6.0,1.0,7.0,28,0.98,0
137,6.0,1.0,7.0,28,0.99,0
135,6.0,1.0,7.0,32,0.95,0
964,6.0,1.0,7.0,32,0.96,1
137,6.0,1.0,7.0,32,0.97,0
